"","month","day","year","missing_var","s.mean","s.SD","p.GT.5","p.GT.25","p.GT.1","lag"
"1","8","3","2012","SST",0.00684976640488115,1.19537825784672e-06,0,0,0,1
"2","8","3","2012","CHLA",0,0,0,0,0,1
"3","8","3","2012","EKE",0.00690048183033549,1.16054071799043e-06,0,7.73036487322202e-05,0.00108225108225108,1
"4","8","3","2012","YWIND",0,0,0,0,0,1
"5","8","3","2012","SLA",0.00213841378184988,3.02519198618181e-07,0,0,0,1
"6","8","4","2012","SST",0.00714942710890899,1.13443427342522e-06,0,0,0,1
"7","8","4","2012","CHLA",0,0,0,0,0,1
"8","8","4","2012","EKE",0.0097221694425842,1.2117531672562e-06,0,0,0.00170068027210884,1
"9","8","4","2012","YWIND",0,0,0,0,0,1
"10","8","4","2012","SLA",0.00551785490915366,4.0917472072149e-07,0,0,0,1
"11","8","5","2012","SST",0.00788188016654441,8.56743995844184e-07,0,0,0,1
"12","8","5","2012","CHLA",0,0,0,0,0,1
"13","8","5","2012","EKE",0.00722027029797718,1.21738873286226e-06,0,0,0.0015460729746444,1
"14","8","5","2012","YWIND",0,0,0,0,0,1
"15","8","5","2012","SLA",0.00164620151497826,2.63337025452347e-07,0,0,0,1
"16","8","6","2012","SST",0.0152126935737328,1.27349357036598e-06,0,0,0.00200989486703772,1
"17","8","6","2012","CHLA",0,0,0,0,0,1
"18","8","6","2012","EKE",0.00711888506416929,1.19206434102503e-06,0,0,0.00131416202844774,1
"19","8","6","2012","YWIND",0,0,0,0,0,1
"20","8","6","2012","SLA",0.00149508520283163,2.78807269470894e-07,0,0,0,1
"21","8","7","2012","SST",0.00755092956227629,1.33681469078301e-06,0,0,0.00146876932591218,1
"22","8","7","2012","CHLA",0,0,0,0,0,1
"23","8","7","2012","EKE",0.00750484064617509,1.25585069671636e-06,0,0,0.00170068027210884,1
"24","8","7","2012","YWIND",0,0,0,0,0,1
"25","8","7","2012","SLA",0.0033764703070491,2.83688287674694e-07,0,0,0,1
"26","8","8","2012","SST",0.00596930915301343,1.00407053633455e-06,0,0,0.000850340136054422,1
"27","8","8","2012","CHLA",0,0,0,0,0,1
